"49","Cook Islands",NA,NA,NA,NA,NA,NA,NA,NA,31.8,31.8,31.8,31.8,NA,8,31.8,0,8,8,8,31.8,31.8,NA,NA,31.8,31.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,9,9,9,9,18,18,9,9,9,2,2,0,NA,NA,NA,NA,NA,NA,5,NA,5,5,5,5
"50","Costa Rica",2,2,2,2,3450,3516,1858,1485,7349,9207,10304,10217,1106,597,10100,117,618,3215,2845,10036,1224,181,NA,1043,1043,NA,308,594.5265463,708.7027915,1302.025178,1302.025178,1322.605364,1322.605364,20.580186,773,771,910,910,965,968,60,60,60,173,153,27,51,70,137,134,134,137,777,777,783,783,794,772
"51","Côte d'Ivoire",1365,1365,1365,1437,1923,2003,1738,1567,4070,5808,6995,8286,1187,1200,7872,414,1223,1655,1632,8214,6373,72,NA,6301,6301,NA,214,18229.44718,19849.9179,19849.9179,19849.9179,46182.59442,46182.59442,26333.88068,609,507,936,936,NA,841,3,3,3,NA,66,0,118,169,201,188,200,201,308,308,308,308,NA,308
"52","Croatia",6,6,6,6,5619,5629,3291,2843,11311,14833,16944,13554,1764,1778,13159,395,1933,4427.5,4270.5,13209,3664,338,NA,2401,3326,10127,164,4624.192666,4640.613027,4819.157088,4819.157088,6299.178982,5006.787083,187.6299945,1184,1120,1583,1583,1020,1587,1,4,4,27,115,9,47,62,139,44,139,139,521,521,533,533,142,533
"53","Cuba",61.7,61.7,61.7,124.9,NA,8005.7,4622.3,4622.3,11480.1,16404.8,18310.1,19366,2961.3,5608.2,18310.1,1055.9,6105.8,6168.6,5671,18528.5,19261.9,837.5,NA,18424.8,18424.4,NA,3552.8,21.2,1091.7,1215.5,1215.5,1196.6,1196.6,749.4,272.5,272.5,1228.7,1228.7,949.8,2041.4,355,439,439,571.8,208.8,638.8,70,108.5,118.9,79.5,146.5,118.9,231.6,197.1,346.4,346.4,311.4,865.7
"54","Curaçao",0.343,0.343,0.343,0.343,NA,NA,365,365,299,664,807,891,143,102,807,84,235,265,132,419,859,472,NA,387,387,NA,419,0.083,0.083,0.083,0.083,NA,0.083,NA,277,277,277,277,477,292,NA,NA,NA,59,59,0,44,44,44,NA,9,44,65,65,65,65,65,65
"55","Cyprus",12,12,12,12,1838,1425,463,423,3502,3965,4145,4350,173,1481,4145,205,1513,1734,1692,4272,4084,58,NA,4013,4026,45,828,7.772304324,9.523809524,21.893815,21.893815,11.49425287,28.13355227,6.349206349,224,224,337,337,549,463,124,125,125,221,231,-6,31,42,48,48,48,48,341,341,341,341,342,340
"56","Czechia",NA,NA,NA,NA,14680,14125,23005,16869,31617,56203,62227,86024,3847,11392,79906,6118,13082,21970,20090,77546,50138,7914,16338,26862,42224,103609,45,4795.29283,4892.063492,5336.726875,5336.726875,8460.974275,8099.945265,2763.218391,3943,3854,4335,4328,1786,4372,NA,1,1,126,283,16,4,12,271,89,212,107,1570,1570,1570,1570,449,1593
"57","Dem. Rep. of the Congo",3803,3803,3803,3803,804,2753,4342,4342,3557,7899,9260,8831,1895,30,8191,640,34,2606,2029,8824,11,7,NA,4,4,NA,41,61443.45922,61443.45922,75004.05036,75004.05036,120064.3678,120064.3678,45032.29338,910,682,910,910,910,910,1,1,1,226,226,0,NA,NA,NA,NA,NA,NA,513,513,513,513,513,513
"58","Denmark",14.188,14.188,14.188,14.188,10178,10104,8174,6425,22066,30625,33543,32183,1974,7579,30814,1369,8152,13656,12476,29577,18493,2010,22176,23,16483,96233,47,3402.955665,3759.71538,4172.304324,4172.304324,3884.07225,8677.175698,4505.199781,2571,2351,3376,3376,2762,3811,7,42,42,747,868,53,12,19,40,18,42,40,1264,1264,1285,1285,715,1360
"59","Djibouti",51.643,51.643,51.643,51.643,136,169,NA,NA,305,305,396,402,91,130,396,6,130,130,130,402,402,NA,NA,402,402,NA,75,70.017,70.017,70.017,70.017,378.927,376.851,306.834,21.4,21.4,21.4,21.4,64.3,54.6,30.7,30.7,30.7,87.8,87.8,0,10,20,20,20,20,20,4.5,4.5,4.5,4.5,4.5,4.5
"60","Dominica",0.201,0.201,0.201,0.201,40.75,41.68,8.72,8.72,82.43,91.15,99.03,102.43,8,20.1,99.03,3.4,20.1,26.74,26.74,102.43,71.79,NA,NA,71.79,71.79,NA,1,6.071,6.071,6.071,6.071,7.523,7.499,1.428,11,11,11,11,26.9,26.9,15.9,15.9,15.9,0.6,0.6,0,2,2,2,2,2,2,13,13,13,13,13,13
"61","Dominican Republic",51.94,51.94,51.94,51.94,3557.53,5225.3,5373.66,5373.66,9762.84,15188.83,17370.18,17961.98,2160.03,2915.86,17370.18,591.8,3328.35,4042.26,3615.96,14991.98,16451.92,2970,NA,13481.92,13481.92,NA,1547.25,835.53,835.55,835.55,835.55,1090.62,1090.62,254.99,495.49,495.49,637.67,637.67,777.98,1122.89,110.83,484.99,484.99,245.51,483.9,1.33e-14,418.56,456.18,834.48,828.65,849.33,834.48,685.37,685.37,809.03,709.03,571.57,825.07
"62","Ecuador",NA,NA,NA,NA,4809.4,6364,8497,8497,12984.1,21491.1,24581.3,24307.2,3140.2,2220.2,23791.8,515.4,3010.8,5299.09,4433.73,20476.5,12753.1,3308.3,NA,9444.8,9444.8,NA,1664.26,901.1,901.1,1073.1,1073.1,1073.2,1073.2,NA,2704.31,2434,4291.71,4291.71,3493.37,4973.38,372.35,618.1,618.1,33.74,375.49,-2.52,1252.17,1520.62,1663.67,1433.22,1734.88,1663.67,2308,2303.6,3777.7,3777.7,2376.2,3849.8
"63","Egypt",1336,1336,1336,1336,35399,62441,41678,41678,104350,146556,165710,177249,19154,31733,166099,11150,32420,35907,35220,171747,161708,5502,NA,156206,156206,NA,7875,NA,9229.5,9229.5,9229.5,17692.9,17690.4,8460.9,7204,7204,10169,10169,4442,10739,83,83,83,178,687,498,3899,3899,3922,2168,3922,3922,3835,3835,3835,3835,1005,3835
"64","El Salvador",37,37,37,37,1487,1601,2231,2231,3293,5524,6260,6223,705,693.1,5879,344,886.1,1563.1,1370.1,5569,2947,654,NA,2293,2293,NA,580,1366.502463,1391.789819,1509.359606,1509.359606,1763.437329,1763.437329,254.077723,420,420,549,549,561,550,0,1,1,152,152,0,189,190,277,270,277,277,476,476,476,476,476,476
"65","Equatorial Guinea",10,10,10,10,NA,176,184,184,176,360,395,439,NA,184,395,44,184,334,334,439,242,NA,NA,242,242,NA,NA,386.7,386.7,386.7,386.7,447,447,60.3,110,110,136,136,145,145,2,2,2,35,35,0,20,20,20,20,20,20,23,23,23,23,23,23
"66","Eritrea",146,146,146,147,92,127,84,84,219,303,353,370,50,133,353,17,139,140,134,359,368,11,NA,357,357,NA,73,951.833607,1034.044882,1034.044882,1034.044882,2450.136836,2450.136836,1416.091954,44,44,45,45,79,79,30,34,34,1,1,0,2,2,2,2,2,2,10,10,10,10,10,10
"67","Estonia",NA,NA,NA,NA,2795,1739,2117,1965,4739,6906,8259,12446,842,2733,11013,1433,2750,3096,3072,12389,11815,42,1289,10575,11773,20523,-23,892.7203065,953.256705,1204.70717,1204.70717,4182.594417,2657.142857,1446.086481,481,452,654,654,691,641,NA,0,0,53,40,0,4,6,9,16,9,9,239,239,242,242,434,242
"68","Ethiopia",4117.8,4117.8,4117.8,4117.77,1806,2435,2241,2241,4288,6529,8304,9615,1775,190,9356,259,190,2311,2311,9615,9,NA,NA,9,9,NA,168,80962,82039.6,82039.6,82039.6,106748,106745.39,24706.2,1045,1045,1724,1724,1727,1727,3,3,3,486,386,68,7,7,7,7,7,7,229,229,229,229,233,233
"69","Faeroe Islands",0.01,0.01,0.01,0.01,98.685,77.974,76.094,76.094,207.716,283.81,298.46,305.417,14.645,68.19,298.46,6.957,68.19,123.69,123.69,305.417,150.242,NA,NA,150.242,150.242,NA,60.437,NA,NA,NA,NA,NA,NA,NA,50.906,50.906,122.353,122.353,130,123.527,1.173,1.173,1.173,0.004,0.004,0,NA,NA,NA,NA,NA,NA,10.603,10.603,10.603,10.603,10.603,10.603
"70","Falkland Is. (Malvinas)",0.127,0.127,0.127,0.127,NA,2.94,7.36,7.36,10.29,17.65,17.65,17.65,NA,7,17.65,3.55e-15,9,11.89,9.89,15.65,11.96,2,NA,9.96,9.96,NA,NA,0.189,0.189,0.189,0.189,0.771,0.771,0.582,NA,NA,6,6,8.6,8.6,2.6,2.6,2.6,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,1,1,1,1,1
"71","Fiji",2.417,2.417,2.417,2.417,350,220,200,200,582.6,782.6,836.1,859.3,70,114,836.1,23.2,164,309.2,259.2,809.7,454,49.6,NA,404.4,404.4,NA,41.3644,22.478,22.478,22.478,22.478,37,36.98,14.502,88.77284561,60.922541,146.2140989,146.2140989,247.171453,205.3958961,59.538,59.538,59.538,30,22,8,20,22.2929,22.2929,22.2929,22.2929,22.2929,72,72,72,72,72,72
"72","Finland",3.4,3.4,3.4,3.4,17458,21362,38170,29461,40245,79137,83180,68093,2772,7759,65456,2637,9607,16245,14200,58000,29711,8976,15286,6374,20735,158791,1549,5801.970443,6829.228243,17618.50027,17618.50027,21340.33935,21430.4324,3811.932129,2459,2365,3948,3948,2159,4933,4,23,23,237,606,171,4,8,433,316,559,268,1434,1399,1520,1520,493,1878
"73","France",126.888,126.888,126.888,126.888,131610,149426,111382,72622,291470,415325,464250,562776,35384,21655,539416,23360,24411,129069,120835,544147,33484,12619,31969,14770,20865,85806,3845,27366.83087,28397.48221,32933.33333,32933.33333,36626.81992,36626.81992,3666.338259,34157,33894,46184,45238,22482,47677,25,38,170,4018,5483,1040,812,1377,4070,3479,3895,1807,6967,6686,6995,6995,284,8039
"74","French Guiana",8.2,8.2,8.2,8.2,434,298,43,43,732,775,890,910,115,139.6,890,20,139.6,291.6,291.6,910,359,NA,NA,359,359,NA,40,87.02,87.02,87.02,87.02,136.21,136.21,49.19,57,57,78,78,146,146,39,39,39,39.3,39.3,0,NA,4.2,4.2,4.2,4.2,4.2,33,33,33,33,33,33
"75","French Polynesia",0.633,0.633,0.633,0.633,356,286,NA,NA,642,642,685.93,721.03,44,177.18,685.93,35.1,177.18,227.48,227.48,721.03,492.34,NA,NA,492.34,492.34,NA,108.149,1.427,1.427,1.427,1.427,4.549,4.553,3.126,27.178,NA,27.178,27.178,131.325,94.25,67.072,67.072,67.072,17,13,4,7.684,7.684,7.684,7.684,7.684,7.684,45.789,45.789,45.789,45.789,45.789,45.789
"76","Gabon",NA,21.8,21.8,21.8,312,1077,561,559,1502,2071,2672,2367,555,268,2284,83,337.5,508.5,438,2173,1570,192,NA,1378,1378,NA,58,4286,4286,5286,5286,5450,5450,163.8,180,180,532,532,541,683,127,151,151,9,44,0,36,36,36,23,36,36,80,80,80,80,12,80
"77","Gambia",66.41,66.41,66.41,66.41,NA,NA,35.2,35.2,173.3,208.5,270.3,260.8,52,79.8,270.3,-9.5,113.8,115.5,81.5,230,260.8,30.8,NA,230,230,NA,65.9,355.548,355.548,355.548,355.548,732,740.548,385,NA,NA,21.5,21.5,72.5,71.5,50,50,50,14.8,13.8,0,NA,2.3,2.3,2.3,2.3,2.3,24.6,24.6,24.6,24.6,24.6,24.6
"78","Georgia",NA,NA,NA,NA,2567,2465,2816,1172,6701,9784,10402,10370,600,1688,10153,217,1688,4350,4350,10370,2036,NA,NA,2036,2036,0,1.6,2432.78,2473.072,2474.769,2474.769,2474.77,2475.907,NA,508.5,497.8,519.3,519.3,529.6,519.4,0,0,0,78.2,80.3,0.8,16,16,18,18,18,18,380.6,380.6,381.4,381.4,373.9,381.3
"79","Germany",211.06,211.06,211.06,211.06,142868,129600,228773,148965,272468,512835,550064,627795,24159,87747,591952,35843,97203,198416,188609,582345,409688,43874,NA,287457,365814,430982,5330,22206.13027,25251.6694,31377.77778,31377.77778,47832.18391,47832.18391,16382.92282,33127,32494,51962,51624,16871,53607,144,290,427,4812,7826,1014,650,1013,2479,672,2928,1675,18223,18223,18527,18527,1790,17093
"80","Ghana",1701.9,1719.635593,1719.635593,1719.635593,2069,2772,4681,4681,4841,9522,12492,13139,2348,1248,12963,176,1458,3040.5,2830.5,12959,4752,180,NA,4572,4572,NA,92.3,4482,4577.7,6314.9,6314.9,16632.61872,16632.61872,10320,1348,1237.4,1713,1713,1742.1,1823.7,1.5,1.5,1.5,112.4,105.6,16.2,166.2,176.8,241.5,236.4,239.7,241.5,1101.5,1101.5,1102.3,1102.3,1254.3,1273.2
"81","Gibraltar",NA,NA,NA,NA,17,NA,NA,NA,188,188,194,198,6,43,194,4,43,43,43,198,198,NA,NA,198,198,NA,48,0.07,0.07,0.07,0.07,NA,0.07,NA,92,92,92,92,414,92,NA,NA,NA,7,7,0,NA,NA,NA,NA,NA,NA,32,32,32,32,32,32
"82","Greece",57,57,57,57,16802,17151,12869,11432,36288,49500,55334,50474,4149,10427,46702,3772,10932,18895,18390,48682,38386,1792,NA,26507,36594,2073,2258,3114.723591,3141.98139,3513.409962,3513.409962,3247.181171,3526.984127,13.5741653,2271,2034,3618,3618,936,4094,258,274,274,162,757,509,79,139,450,39,532,450,2515,2515,2525,2525,351,2450
"83","Greenland",NA,NA,NA,NA,160.7,100.9,60.4541,59.012,270.4,330.8541,180.6659,579.9176,11.9994,80,180.6659,399.2517,96,186.9,170.9,488.1385,183.5582,91.7791,NA,91.7791,91.7791,1002.8075,11.3357,NA,NA,NA,NA,NA,NA,NA,11.6512,6.0515,95.4484,95.4484,131.4228,124.816,27.4242,27.4242,27.4242,16.7813,NA,15.1616,0.0276,0.0475,0.0692,0.0692,0.0692,0.0692,6.1533,3.9711,13.145,13.145,12.9599,13.5504
"84","Grenada",2.03,2.03,2.03,2.03,105.2,68.2,5.8,5.8,173.4,179.2,194,199.9,14.8,48.59,194,5.9,48.59,48.59,48.59,199.9,199.9,NA,NA,199.9,199.9,NA,NA,21.07586207,21.07586207,21.07586207,21.07586207,27.2,27.2,6.124137931,7.8,7.8,11.13,11.13,51.25,51.25,40.12,40.12,40.12,5.28,5.28,0,3.71,4.25,4.25,4.25,4.25,4.25,25.21,25.21,25.96,25.96,23.53,23.53
"85","Guadeloupe",2.1,2.1,2.1,2.1,698,724,86,86,1422,1508,1734,1809,207,379.5,1734,75,379.5,496.1,496.1,1809,1563,NA,NA,1563,1563,NA,212,2.74,2.74,2.74,2.74,15,15.36,12.62,135,135,135,135,274,274,135,135,135,108,108,0,13,15,15,15,15,15,112,112,112,112,112,112
"86","Guam",NA,NA,NA,NA,748,460,NA,NA,1578,1578,1663,1750,85,552.2,1663,87,552.2,552.2,552.2,1750,1750,NA,NA,1750,1750,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"87","Guatemala",71,71,71,71,2215,2726,3347,3347,4941,8288,9709.1,10637.6,1015,1111,10217,420.6,1580.3,2610.2,2136.5,9782,5530.7,827.4,NA,4703.3,4703.3,NA,944.4,20721.6,21375.6505,21375.6505,21375.6505,21801.6377,21801.6377,426,990.2,990.2,1106.2,1106.2,1519.3,1151.7,7.9,7.9,7.9,19.4,19.4,0,231.6,237.6,300.8,418.3,300.8,300.8,1074.2,1074.2,1102.8,1102.8,1194.6,1102.8
"88","Guernsey",NA,NA,NA,NA,1,304.86,51.35,51.35,310.86,362.21,383.1,227.1,20.89,115.3,227.1,0,115.3,115.3,115.3,227.1,227.1,NA,NA,227.1,227.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.13,1.13,1.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"89","Guinea",379.982,379.982,379.982,379.982,85,270,355,355,386,741,914,1015,173,210.6,914,101,369.6,518.22,338.22,665,525,350,NA,175,175,NA,120,9894,9894,9894,9894,12174,12174,2280,80,80,275,275,325,325,50,50,50,12.3,12.3,0,NA,NA,NA,NA,NA,NA,255,255,255,255,255,255
"90","Guinea-Bissau",70.241,70.241,70.241,70.241,NA,15.02,20.34,20.34,15.02,35.36,35.36,35.36,NA,26,35.36,1.78e-15,28,28,26,27.19,35.36,8.17,NA,27.19,27.19,NA,30.35,2330.089,2330.089,2330.089,2330.089,2752.189,2752.189,422.1,27.4,27.4,35.3,35.3,44.3,44.3,7.3,9,9,11.76,11.76,0,2.94,2.94,2.94,2.94,2.94,2.94,1.9,1.9,1.9,1.9,1.9,1.9
"91","Guyana",1.62,1.69,1.69,1.69,103.42,288,305.73,305.73,429.99,735.72,950.76,979.36,215.01,189.7,950.76,28.6,379.8,379.8,189.7,777.54,979.36,201.82,NA,777.54,777.54,NA,190.18,128.4302135,128.4302135,128.6163109,128.6163109,139.7580733,139.7580733,11.14176245,73.4,73.4,222.42,222.42,295.88,289.48,31.43,67.06,67.06,9.33,9.33,0,15.22,16.07,16.92,17.3,16.91,16.92,144.56,144.56,147.46,147.46,139.27,147.45
"92","Haiti",1296,1296,1296,1296,37,189,184,184,226,410,1022,1033,621,166,1022,11,259,320,227,943,943,90,NA,853,853,NA,138,6493.705528,6493.705528,6753.913519,6753.913519,14708.70279,14708.70279,7954.789272,191,191,392,392,530,530,88,128,128,34,34,0,7,7,7,8,8,7,178,178,178,178,178,178
"93","Honduras",20,20,20,19.9,1809,2195,1548,1548,4004,5552,8360,8038,2809,958,8038,0,1139,1915,1734,7687,5038,351,NA,4687,4687,NA,1106,8308.702791,8308.702791,9058.894362,9058.894362,9184.893268,9184.893268,126,551,551,683,683,761,841,158,158,158,67,67,0,119,119,119,497,120,119,545,545,545,545,497,545
"94","Hungary",1.275,1.275,1.275,1.275,7645,10423,14678,10889,18880,34704,40517,29371,3631,6161,27131,2240,6333,8809,8547,28729,12652,531,1150,8612,12121,38522,63,1456.048166,1973.180077,2432.512315,2432.512315,5018.281336,4959.168035,2526.65572,2414,2357,2874,2868,1421,3489,2,5,7,0,171,0,54,94,446,243,542,267,1278,1278,1278,1278,442,1292
"95","Iceland",NA,NA,NA,NA,1026,842,14682,13631,2144,16830,17475,18122,498,114,17673,449,114,2766,2766,18122,3,NA,NA,3,3,NA,72,NA,NA,NA,NA,NA,NA,NA,121,117,292,292,288,291,1,1,1,188,177,12,1,1,2,2,2,2,132,132,132,132,133,132
"96","India",3187,3187,3187,3187,78391,217405,418346,303929,513804,948327,1283905,1308873,241550,198745,1278907,29966,241396,316379,271722,1146816,1111341,159837,NA,951504,951504,NA,6759,292411.9321,323542.3098,395029.6661,395029.6661,438530.4871,438530.4871,43500.763,50352,47313,61493,61493,191,70540,197,6536,6536,0,3798,1700,16040,16144,17568,8318,19791,17568,18587,18587,18587,18587,328,18587
"97","Indonesia",406,406,406,406,48614,84086,36737,27431,133196,170088,224780,220793.8,21423,45258,215790,5003.8,53692,60587.83,51650.83,175296.8,191991,41513,NA,150478,150478,NA,4122,175714.5047,176620.5802,199723.2622,199723.2622,206307.7176,206307.7176,6584.455391,14186,13713,18401,18371,9739,25820.2,4407,5896,5896,765,1297,1740,5843,5843.4,6722.4,3590,6726,6722.4,22468,22468,23764,23764,14932,23804
"98","Iran (Islamic Rep. of)",7,7,7,7,35171,71163,75689,75689,145359,221411,259832,274609,34610,57500,265720,8889,63080.6,73000.7,67420.1,268339,255917,6270,NA,249647,249647,NA,13518,8100,8100,8100,8100,8100,8100,6,17466,17465,23227,23227,259,29672,7464,7480,7480,NA,1248,4,1636,2020,2060,38,4150,2060,18649,18649,18721,18721,1230,17586
"99","Iraq",25,25,25,25,2866,15826,10071,10071,33922,43993,78306,67768,34312,23076,66055,1713,23076,25589,25589,67768,64837,NA,NA,64837,64837,NA,12692,NA,29.88505747,29.88505747,29.88505747,203.1746032,203.1746032,173.2895457,4494,4494,6741,6741,11229,16328,9915,9915,9915,312,527,0,1668,1668,1668,328,1668,1668,4707,4707,4707,4707,1851,4304
"100","Ireland",NA,NA,NA,NA,6439,7704,9396,7689,14701,24136,26955,26314,2044,5995,25307,1007,6337,9078,8735,24241,20185,2072,NA,18113,18113,NA,111,117.6792556,245.210728,740.8866995,740.8866995,808.5385878,1000.766284,266.7761357,2430,2389,3151,3151,2227,3198,7,7,7,898,704,190,55,65,120,98,127,120,1146,1144,1146,1146,882,1151
"101","Isle of Man",NA,NA,NA,NA,4,157,137,137,231,368,418,504,50,185.1,461,43,185.1,186.1,186.1,504,500,NA,NA,500,500,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"102","Israel",6,6,6,6,15953,15981,15211,14667,36107,51318,53980,60813,1738,15064,58824,1989,15526,16223,15078,57478,59954,2490,NA,57464,57464,NA,843,20.03284072,20.03284072,20.03284072,20.03284072,20.03284072,20.03284072,0,2505,2505,2529,2529,499,2696,17,17,17,129,1061,0,120,249,638,231,704,438,2844,2844,2844,2844,566,2832
"103","Italy",60,70,70,70,88489,64255,112918,80360,158117,281498,310535,279827,19451,67419,269148,10679,71272,121762,117688,264085,175510,14749,73296,90017,160761,131892,2257,25213.7931,25584.01752,26906.40394,26906.40394,28995.18336,35993.76026,9087.356322,23576,22940,27569,27262,3168,27792,91,119,226,1574,2995,736,983,1420,3154,2204,3351,3112,8095,8095,8797,8412,385,8848
"104","Jamaica",38.4,38.4,38.4,38.4,1050.9,981.7,957.7,957.7,2050.3,3008,4111,4123,1103,611.5,4111,12,873.7,944.5,643.6,2462,3869,1542,NA,2327,2327,NA,1273.841,89.10344828,89.10344828,89.10344828,89.10344828,303.5862069,303.5862069,214.4827586,221.604,221.604,263.2436,263.2436,301.36,419.2613,188.611,188.611,188.611,112.105,196.04,-5.752,30.773,68.198,69.898,67.382,72.558,69.898,459.8514,459.8514,470.9662,470.9662,316.3934,419.381
"105","Japan",12,12,12,12,340634,273938,295623,180972,638038,951487,998941,1040676,45414,143777,1006879,33797,194857,315318,234028,864204,921613,130206,NA,791407,791407,13697,17463,54.40613027,54.40613027,524.4663383,524.4663383,4874.110564,4874.110564,4349.644226,21211,20059,36693,36551,570,38441,298,725,725,467,6026,4263,4048,6699,12428,11645,15625,8850,39004,39004,39004,39004,1107,38309
"106","Jersey",NA,NA,NA,NA,61.6,302.8,285.2,285.2,364.4,649.6,696.7,135.3,44.9,212,115.4,19.9,240,240,212,98.8,135.3,36.5,NA,98.8,98.8,NA,NA,NA,NA,NA,NA,NA,NA,NA,12.2,12.2,30.2,30.2,NA,NA,20.8,20.8,20.8,NA,NA,NA,NA,NA,6.342495,NA,NA,6.342495,39.59367946,39.59367946,39.59367946,39.59367946,NA,NA
"107","Jordan",47.464,47.464,47.464,47.464,2673.3,6583.4,3779.8,3582.8,11540.9,15320.7,18009,18270.4,2569,3987,17638,632.4,4186,4199.4,4000.4,17887.4,18210,383,NA,17827,17827,NA,2041.1,66.531,66.531,66.531,66.531,334,334.041,267.51,1102.5,1102.5,1559.3,1559.3,2373.4,3276.4,1633.9,1633.9,1633.9,25.8,118.8,209,295.23,359.5,367.05,281.8,366.92,367.05,1165.2,1165.2,1165.2,1165.2,520,1152.9
