jurisdiction,year,prisoner_count,state_population,violent_crimes_per1000,murders_per1000,rape_per1000,robbery_per1000,agg_assault_per1000,property_crime_per1000,buglary_per1000,larceny_per1000,vehicle_theft_per1000
Alabama,2016,23745,4860545,5.324094315,0.083735466,0.39398874,0.964295156,3.882074953,29.4738553,7.004358565,20.05906745,2.410429283
Alaska,2016,4378,741522,8.045614291,0.070126038,1.420052271,1.146291007,5.409144975,33.54721775,5.465785236,23.95883062,4.122601892
Arizona,2016,42248,6908642,4.710332363,0.05630629,0.478241599,1.019737309,3.156047165,30.00835765,5.531622568,21.8013902,2.67534488
Arkansas,2016,15833,2988231,5.542744185,0.072618215,0.740906576,0.711123069,4.018096325,32.82611016,7.96926342,22.45174486,2.405101881
California,2016,129416,39296476,4.44813423,0.049113819,0.348682666,1.394247158,2.656090587,25.50025096,4.791880066,16.21035942,4.498011476
Colorado,2016,19486,5530105,3.441164318,0.034176566,0.657311208,0.637420085,2.112256458,27.51231667,4.308236462,19.65242975,3.551650466
Connecticut,2016,15040,3587685,2.276955753,0.02201977,0.220476435,0.755640476,1.278819071,18.08269121,2.817136956,13.27931521,1.986239037
Delaware,2016,6334,952698,5.100252126,0.060879733,0.326441328,1.426475126,3.286455939,27.67928557,5.277643073,20.79567712,1.605965374
Florida,2016,98010,20656589,4.294029377,0.053784291,0.367824523,0.976685938,2.895734625,26.81042838,4.856803802,19.8654289,2.088195684
Georgia,2016,53433,10313620,3.904351721,0.066126152,0.327818942,1.174563344,2.335843283,29.7960367,6.080794134,21.14941214,2.565830426
Hawaii,2016,5182,1428683,2.416211294,0.024498087,0.420667146,0.689446154,1.281599907,29.64478474,4.187772935,21.60801241,3.848999393
Idaho,2016,7221,1680026,2.307107152,0.029166215,0.427969567,0.126783752,1.723187617,17.47413433,3.760656085,12.47718785,1.236290391
Illinois,2016,43616,12835726,4.36702996,0.082659913,0.389771486,1.389013757,2.505584803,20.5096307,3.754598688,15.20724266,1.54778935
Indiana,2016,25143,6634007,3.99698101,0.064968276,0.369158489,1.099034113,2.463820132,25.393401,5.059837893,18.15705048,2.176512627
Iowa,2016,9049,3130869,2.928899293,0.02331621,0.40819338,0.367310162,2.13007954,21.04463649,4.888738558,14.55825843,1.597639505
Kansas,2016,9653,2907731,4.011719103,0.045396221,0.556447622,0.604251219,2.805624042,28.30144879,5.075779018,20.67557143,2.550098341
Kentucky,2016,11867,4436113,2.356116717,0.059736981,0.394038655,0.759899489,1.142441592,22.02671573,4.718545267,15.06566672,2.242503741
Louisiana,2016,15059,4686157,5.650045442,0.118433932,0.388164545,1.189674183,3.953772782,32.97179331,7.402440849,23.36498756,2.204364899
Maine,2016,2356,1330232,1.239633387,0.015034971,0.310472158,0.201468616,0.712657642,16.46930761,3.007746017,12.8782047,0.583356888
Maryland,2016,20236,6024752,4.816629797,0.088966318,0.303248997,1.795094636,2.629319846,23.19033215,4.121663431,16.76334561,2.305323107
Massachusetts,2016,9038,6823721,3.806574155,0.019783927,0.313758432,0.786227925,2.686803871,15.59706207,2.814300292,11.59997602,1.182785756
Michigan,2016,41122,9933445,4.608874363,0.061610046,0.731669627,0.717072476,3.098522215,19.15236859,4.000424827,13.11216803,2.039775727
Minnesota,2016,9509,5525050,2.418982634,0.018280378,0.425154523,0.675107013,1.30044072,21.30713749,3.363227482,16.36564375,1.57826626
Mississippi,2016,13720,2985415,2.81736375,0.079385948,0.429421035,0.814962074,1.493594693,27.64138319,7.867917861,18.33078483,1.442680498
Missouri,2016,32427,6091176,5.207532995,0.088324488,0.419787575,1.079594482,3.619826451,28.01774239,5.206876308,19.80717681,3.003689271
Montana,2016,3199,1038656,3.741373467,0.035622959,0.575744038,0.258025756,2.871980714,27.10810894,3.818396081,20.62954433,2.660168525
Nebraska,2016,5167,1907603,2.967598604,0.025686686,0.580833643,0.495910313,1.865167962,22.64464881,3.385924639,16.77969682,2.479027345
Nevada,2016,13932,2939254,6.778590758,0.077570703,0.5882445,2.156329463,3.956446091,25.83036376,6.401624358,14.95243351,4.476305893
New Hampshire,2016,2599,1335015,1.998479418,0.01423205,0.45617465,0.322842815,1.205229904,15.22304993,2.238926154,12.32495515,0.659168624
New Jersey,2016,19458,8978416,2.434839286,0.042100967,0.161943933,0.995721294,1.235073091,15.37153101,2.809961133,11.30032291,1.261246973
New Mexico,2016,6996,2085432,6.993754771,0.066652857,0.732222388,1.312437903,4.882441624,39.28682402,8.286052962,25.36980347,5.630967588
New York,2016,50611,19836286,3.746417046,0.031709565,0.316641936,1.12470651,2.273359035,15.38715463,2.008944618,12.65307427,0.725135744
North Carolina,2016,35970,10156689,3.718436195,0.066754038,0.280307884,0.919197191,2.452177083,27.34798712,7.09699785,18.74400211,1.506987169
North Dakota,2016,1639,755548,2.521348743,0.021176682,0.471181182,0.239561219,1.789429659,23.09714274,4.298866518,16.21207389,2.586202333
Ohio,2016,52172,11622554,3.076690373,0.058765053,0.495071909,1.081862042,1.440991369,25.89319009,5.771623001,18.42125233,1.70031475
Oklahoma,2016,26367,3921207,4.553444896,0.062990809,0.535549386,0.809444643,3.145460059,30.09532524,7.491570835,19.47308571,3.130668695
Oregon,2016,14579,4085989,2.68796612,0.0283897,0.436614,0.564612386,1.658350035,29.78862645,4.140735572,22.39531237,3.252578507
Pennsylvania,2016,48287,12787085,3.15857758,0.052709433,0.348711219,0.963002905,1.794154023,17.39207959,2.751057024,13.61897571,1.022046854
Rhode Island,2016,2887,1057566,2.391340115,0.027421456,0.420777521,0.511551998,1.43158914,17.88068073,3.451321241,13.38639858,1.042960912
South Carolina,2016,20376,4959822,5.068125429,0.07218001,0.502235766,0.820795585,3.672914068,32.5685075,6.683505981,23.07643298,2.808568533
South Dakota,2016,3770,861542,4.220339809,0.032499867,0.610533207,0.318034408,3.259272328,19.97232869,3.484449975,14.74681443,1.741064278
Tennessee,2016,21539,6649404,6.385384314,0.074442762,0.42154154,1.177398756,4.712001256,28.7543064,6.106863111,20.35565894,2.291784346
Texas,2016,151276,27904862,4.338455428,0.05296568,0.481851514,1.193268757,2.610369476,27.58988738,5.332260736,19.78529763,2.472329016
Utah,2016,4502,3044321,2.432726378,0.024307555,0.512429537,0.501918162,1.394071125,29.74752005,4.249880351,22.42240552,3.075234182
Vermont,2016,1735,623354,1.365195379,0.022459148,0.272718231,0.125129541,0.944888458,15.56900253,3.022359686,12.25146546,0.295177379
Virginia,2016,29882,8414380,2.198022908,0.05728289,0.336328999,0.57354196,1.23086906,18.69323705,2.395779606,15.12708007,1.170377378
Washington,2016,17228,7280934,3.035462209,0.026782278,0.430301937,0.775861998,1.802515996,35.02215512,6.764104715,23.81878479,4.439265622
West Virginia,2016,5899,1828637,3.627291803,0.046482708,0.374049087,0.393735881,2.813024127,20.38786265,4.991149146,14.03066874,1.366044764
Wisconsin,2016,23163,5772917,3.068812526,0.040187656,0.34731142,0.815359029,1.865954421,19.38552035,3.377495294,14.28307388,1.724951182
Wyoming,2016,2352,584910,2.446530235,0.034193295,0.352190935,0.100870219,1.959275786,19.59275786,3.027816245,15.19720983,1.367731788
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,